comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,bandwidths(Mbs),input_size,preprocess,splitroles,verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,74,1,1,5,10000,10000,1000,1,0,1,1,0.012056,,0.139948,1.416025,1.655249,1.6625,3097,212,1655.249,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,10000,1,0,1,1,0.012244,,0.113308,0.190447,0.204231,0.216666,2817,1357,204.231,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,10000,1,0,1,1,0.011695,,0.116115,0.191254,0.203586,0.2125,2890,1394,203.58599999999998,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,10000,1,0,1,1,0.012051,,0.114383,0.188931,0.207251,0.217083,2915,1340,207.251,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,25000,1,0,1,1,0.011903,,0.129799,0.126706,0.138094,0.147916,2207,2227,138.094,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,25000,1,0,1,1,0.012787,,0.130405,0.124281,0.13231,0.139583,2268,2365,132.31,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,25000,1,0,1,1,0.012039,,0.133064,0.126024,0.136799,0.144166,2319,2346,136.799,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,100,1,0,1,1,0.012307,,0.220982,16.357699,17.597896,17.60625,3279,31,17597.895999999997,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,100,1,0,1,1,0.012585,,0.214782,16.266069,17.608803,17.61625,3299,30,17608.803000000004,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,100,1,0,1,1,0.013332,,0.219149,16.135415,17.606788,17.615833,3277,31,17606.788,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,1000,1,0,1,1,0.007617,,0.14223,1.508077,1.770999,1.778333,3241,202,1770.999,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,1000,1,0,1,1,0.011664,,0.142146,1.523688,1.767884,1.777083,3229,202,1767.884,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,1000,1,0,1,1,0.012459,,0.140174,1.472485,1.768787,1.777916,3227,199,1768.787,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,10000,1,0,1,1,0.01294,,0.116317,0.189022,0.213447,0.22375,2892,1334,213.447,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,10000,1,0,1,1,0.007828,,0.119513,0.19582,0.216343,0.22375,2816,1356,216.34300000000002,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,10000,1,0,1,1,0.011209,,0.117402,0.192762,0.213449,0.225,2914,1328,213.449,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,25000,1,0,1,1,0.012011,,0.132049,0.122906,0.131462,0.140416,2273,2388,131.462,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,25000,1,0,1,1,0.00711,,0.13483,0.12406,0.135736,0.143333,2294,2373,135.736,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,25000,1,0,1,1,0.01238,,0.139597,0.124709,0.134045,0.144583,2230,2430,134.045,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,100,1,0,1,1,0.012474,,0.205507,15.51184,16.413226,16.420833,3210,31,16413.226000000002,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,100,1,0,1,1,0.012339,,0.20841,15.467032,16.408598,16.418333,3161,31,16408.598,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
