comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,latencies(ms),input_size,preprocess,splitroles,verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,74,1,0,5,10000,10000,75,1,0,1,1,0.022531,,0.130388,5.308272,5.332691,5.350416,3108,62,5332.691,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,75,1,0,1,1,0.022467,,0.13088,5.312936,5.342556,5.364583,3108,62,5342.5560000000005,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,75,1,0,1,1,0.020296,,0.131919,5.30918,5.326738,5.345,3114,63,5326.737999999999,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,1,0,1,1,0.011297,,0.127192,0.125447,0.137913,0.145416,2292,2221,137.913,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,1,0,1,1,0.011956,,0.133058,0.126174,0.139033,0.14625,2279,2313,139.033,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,1,0,1,1,0.012009,,0.137162,0.128428,0.138588,0.145833,2294,2368,138.588,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,25,1,0,1,1,0.014227,,0.126048,1.103431,1.111319,1.1275,3053,287,1111.319,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,25,1,0,1,1,0.01554,,0.127095,1.104464,1.113635,1.1275,3056,291,1113.635,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,25,1,0,1,1,0.012213,,0.127114,1.103131,1.120131,1.13125,3054,286,1120.131,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,50,1,0,1,1,0.017234,,0.127488,2.140653,2.158474,2.17375,3086,149,2158.474,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,50,1,0,1,1,0.012783,,0.127843,2.139135,2.156119,2.170416,3093,149,2156.1189999999997,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,50,1,0,1,1,0.017029,,0.126887,2.140972,2.154318,2.167916,3086,149,2154.3179999999998,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,75,1,0,1,1,0.022709,,0.124978,3.180639,3.237921,3.262083,3105,98,3237.9210000000003,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,75,1,0,1,1,0.022687,,0.127613,3.177128,3.205887,3.229583,3103,100,3205.887,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,75,1,0,1,1,0.02239,,0.127297,3.172504,3.190912,3.21375,3115,101,3190.912,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,1,0,1,1,0.012434,,0.133906,0.124972,0.133066,0.145,2270,2355,133.066,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,1,0,1,1,0.012187,,0.13686,0.125843,0.138118,0.150833,2239,2305,138.118,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,1,0,1,1,0.012785,,0.137455,0.125855,0.132671,0.144583,2225,2392,132.67100000000002,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,25,1,0,1,1,0.015414,,0.126188,0.93451,0.938014,0.954583,3156,344,938.014,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.03,3,1,0,4,512,174,1,0,5,10000,10000,25,1,0,1,1,0.015752,,0.125045,0.93469,0.947256,0.959583,3159,339,947.256,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,25,1,0,1,1,0.015226,,0.125354,0.934313,0.940024,0.955416,3161,341,940.024,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,50,1,0,1,1,0.018308,,0.126071,1.834135,1.850737,1.87125,3223,173,1850.737,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.03,3,1,0,4,512,174,1,0,5,10000,10000,50,1,0,1,1,0.0175,,0.125885,1.834181,1.862152,1.879166,3218,172,1862.152,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,50,1,0,1,1,0.017587,,0.126846,1.834681,1.853672,1.8675,3221,173,1853.672,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
